1941,44
1942,43
1943,52
1944,67
1945,69
1946,71
1947,73
1948,56
1949,38
1950,21
1951,13
1952,11
1953,10
1954,8
1955,7
1956,6
1957,7
1958,9
1959,14
1960,23
1961,39
1962,42
1963,44
1964,45
1965,37
1966,35
1967,25
1968,24
1969,29
1970,47
1971,49
1972,51
1973,41
1974,40
1975,37
1976,32
1977,23
1978,26
1979,31
1980,32
1981,35
1982,36
1983,34
1984,30
1985,29
1986,28
1987,62
1988,70
1989,60
1990,59
1991,43
1992,30
1993,16
1994,8
1995,6
1996,4
1997,3
1998,2
1999,3
2000,2
2001,5
2002,6
